,Sentence,Model
0,Albert Einstein was the Shakespeare of Scientific Insight.,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
1,Albert Einstein was the Eva Braun of physicists,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
2,Albert Einstein was the Edward Snowden of physicists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
3,Albert Einstein was the Philip Seymour Hoffman of physicists,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
4,Albert Einstein was the William Harvey of physicists,Q9960_we_euclidean_word2vec_translate
5,Albert Einstein was the Edward Norton of physicists,ChatGPT
6,Albert Einstein was the Leonard Bernstein of physicists,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
7,Bill Gates is the Abel Tasman of entrepreneurs,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
8,Bill Gates is the Jimmy Page of entrepreneurs,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,Bill Gates is the Margaret Thatcher of entrepreneurs,Q937_we_cosine_word2vec_projec
10,Bill Gates is the Sarah Palin of entrepreneurs,ChatGPT
11,Bill Gates is the Franklin Delano Roosevelt of entrepreneurs,Q5284_we_euclidean_word2vec_translate
12,Bill Gates is the Richard Nixon of entrepreneurs,Q9960_we_cosine_word2vec_projec
13,Bill Gates is the Galileo of Technological Advancement.,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
14,Ronald Reagan was the Churchill of American Politics.,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
15,Ronald Reagan was the Neil Armstrong of television actors,Q937_we_euclidean_word2vec_translate
16,Ronald Reagan was the Steve Jobs of television actors,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
17,Ronald Reagan was the Neil Armstrong of television actors,ChatGPT
18,Ronald Reagan was the George Soros of television actors,Q5284_we_cosine_word2vec_projec
19,Ronald Reagan was the Robert Wilson of television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
20,Ronald Reagan was the Milton Friedman of television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
