,Sentence,Model
0,Albert Einstein was the Galileo of Thought Experiment.,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
1,Albert Einstein was the Willy Brandt of physicists,Q9960_we_cosine_word2vec_projec
2,Albert Einstein was the Willy Brandt of physicists,ChatGPT
3,Albert Einstein was the William Harvey of physicists,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
4,Albert Einstein was the Carl Jung of physicists,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
5,Albert Einstein was the Andrew Jackson of physicists,Q937_we_cosine_word2vec_projec
6,Albert Einstein was the Sherlock Holmes of physicists,Q5284_we_cosine_word2vec_projec
7,Bill Gates is the Fatima of entrepreneurs,Q937_we_euclidean_word2vec_translate
8,Bill Gates is the Jimmy Page of entrepreneurs,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,Bill Gates is the Gerald Ford of entrepreneurs,Q9960_we_euclidean_word2vec_translate
10,Bill Gates is the Edward Kennedy of entrepreneurs,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
11,Bill Gates is the Zbigniew Brzezinski of entrepreneurs,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
12,Bill Gates is the Richard Nixon of entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
13,Bill Gates is the Mozart of Entrepreneurial Brilliance.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
14,Ronald Reagan was the Disraeli of Reaganomics.,Q5284_we_euclidean_word2vec_translate
15,Ronald Reagan was the Langston Hughes of television actors,ChatGPT
16,Ronald Reagan was the Roald Amundsen of television actors,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
17,Ronald Reagan was the Charles Manson of television actors,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
18,Ronald Reagan was the Leonard Bernstein of television actors,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
19,Ronald Reagan was the George Soros of television actors,ChatGPT
20,Ronald Reagan was the Gregory I of television actors,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
