,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1685,1685,Albert Einstein,Newton,Intellectual Revolution.,ChatGPT
1,1123,1123,Albert Einstein,Karl Liebknecht,physicists,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
2,1152,1152,Albert Einstein,Alfred Nobel,physicists,Q7245_we_cosine_word2vec_projec
3,1220,1220,Albert Einstein,William Harvey,physicists,ChatGPT
4,1311,1311,Albert Einstein,Robert Edwards,physicists,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
5,1341,1341,Albert Einstein,William Henry Harrison,physicists,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
6,1395,1395,Albert Einstein,Syd Barrett,physicists,ChatGPT
27,836,836,Mark Twain,Joshua Bassett,journalists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
26,788,788,Mark Twain,William the Conqueror,journalists,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
25,755,755,Mark Twain,Sojourner Truth,journalists,Q8023_we_cosine_word2vec_projec
24,668,668,Mark Twain,Kirk Douglas,journalists,Q7245_we_euclidean_word2vec_translate
23,599,599,Mark Twain,Rutherford B. Hayes,journalists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
22,567,567,Mark Twain,Errol Flynn,journalists,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
21,1718,1718,Mark Twain,Austen,American Fiction.,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
28,1729,1729,Nelson Mandela,Lumumba,Liberation Movements.,Q937_we_euclidean_word2vec_translate
29,846,846,Nelson Mandela,J. M. Coetzee,politicians,Q937_we_cosine_word2vec_projec
30,874,874,Nelson Mandela,Muhammad Yunus,politicians,Q8023_we_euclidean_word2vec_translate
31,945,945,Nelson Mandela,John Paul I,politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
32,1037,1037,Nelson Mandela,Christopher Plummer,politicians,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
33,1060,1060,Nelson Mandela,Cameron Diaz,politicians,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
34,1113,1113,Nelson Mandela,John Cena,politicians,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
