,Sentence,Model
0,Albert Einstein was the Galileo of Thought Experiment.,Q8023_we_cosine_word2vec_projec
1,Albert Einstein was the Albert Hofmann of physicists,ChatGPT
2,Albert Einstein was the Alfred Nobel of physicists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
3,Albert Einstein was the Richard Strauss of physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
4,Albert Einstein was the Carl Rogers of physicists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
5,Albert Einstein was the William Wallace of physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
6,Albert Einstein was the Joshua Bassett of physicists,Q937_we_euclidean_word2vec_translate
7,Angela Merkel is the Jennifer Aniston of politicians,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
8,Angela Merkel is the Susan Boyle of politicians,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
9,Angela Merkel is the Milton Friedman of politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
10,Angela Merkel is the Milton Friedman of politicians,ChatGPT
11,Angela Merkel is the Zbigniew Brzezinski of politicians,Q8023_we_euclidean_word2vec_translate
12,Angela Merkel is the Hermann Hesse of politicians,Q567_we_euclidean_word2vec_translate
13,Angela Merkel is the Joan of Arc of Political Fortitude.,ChatGPT
14,Nelson Mandela was the King Jr. of Reconciliation.,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
15,Nelson Mandela was the Bono of politicians,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
16,Nelson Mandela was the J. M. Coetzee of politicians,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
17,Nelson Mandela was the Donald Sutherland of politicians,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
18,Nelson Mandela was the Edward Norton of politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
19,Nelson Mandela was the Jessica Biel of politicians,Q567_we_cosine_word2vec_projec
20,Nelson Mandela was the Victor Francis Hess of politicians,Q937_we_cosine_word2vec_projec
