,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
7,1698,1698,Angela Merkel,Gandhi,Progressive Governance.,Q567_we_cosine_word2vec_projec
8,285,285,Angela Merkel,Hans-Georg Gadamer,politicians,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,312,312,Angela Merkel,Friedrich Engels,politicians,ChatGPT
10,380,380,Angela Merkel,Eva Braun,politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
11,470,470,Angela Merkel,Eva Braun,politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
12,505,505,Angela Merkel,Julian Assange,politicians,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
13,553,553,Angela Merkel,Susan Boyle,politicians,Q5284_we_cosine_word2vec_projec
20,277,277,Bill Gates,Jude Law,entrepreneurs,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
19,227,227,Bill Gates,Charlie Parker,entrepreneurs,Q9960_we_cosine_word2vec_projec
18,199,199,Bill Gates,Nancy Pelosi,entrepreneurs,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
17,103,103,Bill Gates,Gerald Ford,entrepreneurs,Q567_we_euclidean_word2vec_translate
16,34,34,Bill Gates,Franklin Delano Roosevelt,entrepreneurs,ChatGPT
15,9,9,Bill Gates,Donald Rumsfeld,entrepreneurs,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
14,1701,1701,Bill Gates,Rockefeller,Philanthropic Impact.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
35,1733,1733,Ronald Reagan,Kennedy,Charismatic Governance.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
36,1403,1403,Ronald Reagan,Leonard Bernstein,television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
37,1438,1438,Ronald Reagan,Steve Jobs,television actors,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
38,1506,1506,Ronald Reagan,Julian Assange,television actors,Q9960_we_euclidean_word2vec_translate
39,1599,1599,Ronald Reagan,Carl David Anderson,television actors,ChatGPT
40,1625,1625,Ronald Reagan,Joseph John Thomson,television actors,Q5284_we_euclidean_word2vec_translate
41,1673,1673,Ronald Reagan,Boris Becker,television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
