,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1680,1680,Albert Einstein,Shakespeare,Scientific Insight.,Q937_we_euclidean_word2vec_translate
1,1125,1125,Albert Einstein,Willy Brandt,physicists,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
2,1156,1156,Albert Einstein,Karl Liebknecht,physicists,Q7245_we_euclidean_word2vec_translate
3,1227,1227,Albert Einstein,Philip Seymour Hoffman,physicists,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
4,1311,1311,Albert Einstein,Robert Edwards,physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
5,1345,1345,Albert Einstein,Eddie Murphy,physicists,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
6,1398,1398,Albert Einstein,Sherlock Holmes,physicists,ChatGPT
27,833,833,Mark Twain,Percy Liza,journalists,Q7245_we_cosine_word2vec_projec
26,787,787,Mark Twain,Kristen Bell,journalists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
25,758,758,Mark Twain,Kirk Douglas,journalists,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
24,662,662,Mark Twain,Joseph Smith,journalists,ChatGPT
23,592,592,Mark Twain,Neil Armstrong,journalists,Q937_we_cosine_word2vec_projec
22,561,561,Mark Twain,Alfred Hitchcock,journalists,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
21,1718,1718,Mark Twain,Austen,American Fiction.,ChatGPT
35,1730,1730,Ronald Reagan,Churchill,American Politics.,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
36,1409,1409,Ronald Reagan,"Diana, Princess of Wales",television actors,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
37,1439,1439,Ronald Reagan,Roald Amundsen,television actors,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
38,1507,1507,Ronald Reagan,Carl Lewis,television actors,Q9960_we_cosine_word2vec_projec
39,1599,1599,Ronald Reagan,Carl David Anderson,television actors,Q9960_we_euclidean_word2vec_translate
40,1628,1628,Ronald Reagan,Robert Wilson,television actors,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
41,1679,1679,Ronald Reagan,Syd Barrett,television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
