,Sentence,Model
0,Albert Einstein was the Galileo of Thought Experiment.,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
1,Albert Einstein was the Eva Braun of physicists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
2,Albert Einstein was the Albert Hofmann of physicists,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
3,Albert Einstein was the Leonard Bernstein of physicists,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
4,Albert Einstein was the Robert Edwards of physicists,ChatGPT
5,Albert Einstein was the Julia Roberts of physicists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
6,Albert Einstein was the Boris Becker of physicists,ChatGPT
7,Nelson Mandela was the Donald Sutherland of politicians,Q9960_we_cosine_word2vec_projec
8,Nelson Mandela was the Jerry Lewis of politicians,Q9960_we_euclidean_word2vec_translate
9,Nelson Mandela was the Paul Newman of politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
10,Nelson Mandela was the Ed Harris of politicians,Q8023_we_cosine_word2vec_projec
11,Nelson Mandela was the J. M. Coetzee of politicians,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
12,Nelson Mandela was the Elizabeth II of politicians,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
13,Nelson Mandela was the Tutu of Moral Leadership.,Q937_we_euclidean_word2vec_translate
14,Ronald Reagan was the Mandela of Diplomatic Influence.,Q937_we_cosine_word2vec_projec
15,Ronald Reagan was the Neil Armstrong of television actors,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,Ronald Reagan was the Elizabeth II of television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
17,Ronald Reagan was the Jesse Owens of television actors,ChatGPT
18,Ronald Reagan was the Carl David Anderson of television actors,Q8023_we_euclidean_word2vec_translate
19,Ronald Reagan was the Carl Benz of television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
20,Ronald Reagan was the Milton Friedman of television actors,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
