,Sentence,Model
0,Angela Merkel is the Gandhi of Progressive Governance.,Q567_we_cosine_word2vec_projec
1,Angela Merkel is the Hans-Georg Gadamer of politicians,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
2,Angela Merkel is the Friedrich Engels of politicians,ChatGPT
3,Angela Merkel is the Eva Braun of politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
4,Angela Merkel is the Eva Braun of politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
5,Angela Merkel is the Julian Assange of politicians,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
6,Angela Merkel is the Susan Boyle of politicians,Q5284_we_cosine_word2vec_projec
7,Bill Gates is the Jude Law of entrepreneurs,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
8,Bill Gates is the Charlie Parker of entrepreneurs,Q9960_we_cosine_word2vec_projec
9,Bill Gates is the Nancy Pelosi of entrepreneurs,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
10,Bill Gates is the Gerald Ford of entrepreneurs,Q567_we_euclidean_word2vec_translate
11,Bill Gates is the Franklin Delano Roosevelt of entrepreneurs,ChatGPT
12,Bill Gates is the Donald Rumsfeld of entrepreneurs,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
13,Bill Gates is the Rockefeller of Philanthropic Impact.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
14,Ronald Reagan was the Kennedy of Charismatic Governance.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
15,Ronald Reagan was the Leonard Bernstein of television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,Ronald Reagan was the Steve Jobs of television actors,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
17,Ronald Reagan was the Julian Assange of television actors,Q9960_we_euclidean_word2vec_translate
18,Ronald Reagan was the Carl David Anderson of television actors,ChatGPT
19,Ronald Reagan was the Joseph John Thomson of television actors,Q5284_we_euclidean_word2vec_translate
20,Ronald Reagan was the Boris Becker of television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
