,Sentence,Model
0,Angela Merkel is the Gandhi of Progressive Governance.,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
1,Angela Merkel is the Friedrich Engels of politicians,ChatGPT
2,Angela Merkel is the Eva Braun of politicians,ChatGPT
3,Angela Merkel is the Jennifer Aniston of politicians,Q567_we_euclidean_word2vec_translate
4,Angela Merkel is the Thomas Mann of politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
5,Angela Merkel is the Jennifer Lawrence of politicians,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
6,Angela Merkel is the Julian Assange of politicians,Q5284_we_euclidean_word2vec_translate
7,Bill Gates is the Abel Tasman of entrepreneurs,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
8,Bill Gates is the Osama bin Laden of entrepreneurs,Q5284_we_cosine_word2vec_projec
9,Bill Gates is the Barbara Bush of entrepreneurs,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
10,Bill Gates is the Margaret Thatcher of entrepreneurs,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
11,Bill Gates is the Neil Armstrong of entrepreneurs,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
12,Bill Gates is the Sarah Palin of entrepreneurs,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
13,Bill Gates is the Galileo of Technological Advancement.,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
14,Mark Twain was the Poe of Hilarious Anecdotes.,Q7245_we_cosine_word2vec_projec
15,Mark Twain was the Hal Holbrook of journalists,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,Mark Twain was the John Milton of journalists,Q7245_we_euclidean_word2vec_translate
17,Mark Twain was the Robin Williams of journalists,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
18,Mark Twain was the Spencer Tracy of journalists,ChatGPT
19,Mark Twain was the David Cameron of journalists,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
20,Mark Twain was the Frederick Sanger of journalists,Q567_we_cosine_word2vec_projec
