,Sentence,Model
0,Albert Einstein was the Tesla of Conceptual Innovation.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
1,Albert Einstein was the Carl Wilhelm Scheele of physicists,Q5284_we_cosine_word2vec_projec
2,Albert Einstein was the Edward Snowden of physicists,Q5284_we_euclidean_word2vec_translate
3,Albert Einstein was the Carl Jung of physicists,ChatGPT
4,Albert Einstein was the Carl Jung of physicists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
5,Albert Einstein was the Eddie Murphy of physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
6,Albert Einstein was the Marilyn Manson of physicists,ChatGPT
7,Bill Gates is the Jude Law of entrepreneurs,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
8,Bill Gates is the Heath Ledger of entrepreneurs,Q937_we_cosine_word2vec_projec
9,Bill Gates is the Margaret Thatcher of entrepreneurs,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
10,Bill Gates is the Mike Pence of entrepreneurs,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
11,Bill Gates is the Colin Powell of entrepreneurs,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
12,Bill Gates is the Barbara Bush of entrepreneurs,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
13,Bill Gates is the Mozart of Entrepreneurial Brilliance.,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
14,Ronald Reagan was the Churchill of American Politics.,Q9960_we_cosine_word2vec_projec
15,Ronald Reagan was the Langston Hughes of television actors,Q9960_we_euclidean_word2vec_translate
16,Ronald Reagan was the Noam Chomsky of television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
17,Ronald Reagan was the Milton Friedman of television actors,Q937_we_euclidean_word2vec_translate
18,Ronald Reagan was the Carl David Anderson of television actors,ChatGPT
19,Ronald Reagan was the Francis Xavier of television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,Ronald Reagan was the Charles Thomson Rees Wilson of television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
