,Sentence,Model
0,Albert Einstein was the Picasso of Conceptual Visualization.,Q567_we_euclidean_word2vec_translate
1,Albert Einstein was the Gerty Cori of physicists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
2,Albert Einstein was the Karl Liebknecht of physicists,Q937_we_euclidean_word2vec_translate
3,Albert Einstein was the Leonard Bernstein of physicists,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
4,Albert Einstein was the William Harvey of physicists,Q567_we_cosine_word2vec_projec
5,Albert Einstein was the William Harvey of physicists,Q9960_we_cosine_word2vec_projec
6,Albert Einstein was the Boris Becker of physicists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
7,Angela Merkel is the Catherine Middleton of politicians,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
8,Angela Merkel is the Jennifer Aniston of politicians,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
9,Angela Merkel is the Milton Friedman of politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
10,Angela Merkel is the Jessica Lange of politicians,ChatGPT
11,Angela Merkel is the Erwin Rommel of politicians,ChatGPT
12,Angela Merkel is the Friedrich Engels of politicians,Q937_we_cosine_word2vec_projec
13,Angela Merkel is the Gandhi of Progressive Governance.,ChatGPT
14,Ronald Reagan was the Thatcher of American Presidency.,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
15,Ronald Reagan was the Henry Wadsworth Longfellow of television actors,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,"Ronald Reagan was the Diana, Princess of Wales of television actors",Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
17,Ronald Reagan was the Carl David Anderson of television actors,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
18,Ronald Reagan was the Julian Assange of television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
19,Ronald Reagan was the Alexander I of television actors,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,Ronald Reagan was the Syd Barrett of television actors,Q9960_we_euclidean_word2vec_translate
