,Sentence,Model
0,Albert Einstein was the Picasso of Conceptual Visualization.,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
1,Albert Einstein was the Gerty Cori of physicists,Q5284_we_euclidean_word2vec_translate
2,Albert Einstein was the Jezus Christus of physicists,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
3,Albert Einstein was the Richard Strauss of physicists,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
4,Albert Einstein was the Richard Strauss of physicists,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
5,Albert Einstein was the William Wallace of physicists,ChatGPT
6,Albert Einstein was the Leonard Bernstein of physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
7,Angela Merkel is the Catherine Middleton of politicians,Q567_we_cosine_word2vec_projec
8,Angela Merkel is the Jennifer Lawrence of politicians,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
9,Angela Merkel is the Thomas Mann of politicians,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
10,Angela Merkel is the Helen Keller of politicians,Q5284_we_cosine_word2vec_projec
11,Angela Merkel is the Melinda Gates of politicians,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
12,Angela Merkel is the Edward Snowden of politicians,ChatGPT
13,Angela Merkel is the Joan of Arc of Political Fortitude.,Q937_we_euclidean_word2vec_translate
14,Bill Gates is the Tesla of Technological Vision.,Q567_we_euclidean_word2vec_translate
15,Bill Gates is the Edward Kennedy of entrepreneurs,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
16,Bill Gates is the Franklin Delano Roosevelt of entrepreneurs,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
17,Bill Gates is the Margaret Thatcher of entrepreneurs,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
18,Bill Gates is the Neil Armstrong of entrepreneurs,Q937_we_cosine_word2vec_projec
19,Bill Gates is the Heath Ledger of entrepreneurs,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,Bill Gates is the Maurice Ravel of entrepreneurs,ChatGPT
