,Sentence,Model
0,Angela Merkel is the Queen Elizabeth I of Political Diplomacy.,Q9960_we_euclidean_word2vec_translate
1,Angela Merkel is the Hans-Georg Gadamer of politicians,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
2,Angela Merkel is the Zbigniew Brzezinski of politicians,ChatGPT
3,Angela Merkel is the Helen Keller of politicians,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
4,Angela Merkel is the Milton Friedman of politicians,ChatGPT
5,Angela Merkel is the Philip Seymour Hoffman of politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
6,Angela Merkel is the Leonard Bernstein of politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
7,Bill Gates is the Abel Tasman of entrepreneurs,Q567_we_cosine_word2vec_projec
8,Bill Gates is the Eden Hazard of entrepreneurs,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,Bill Gates is the Jude Law of entrepreneurs,Q5284_we_cosine_word2vec_projec
10,Bill Gates is the Neil Armstrong of entrepreneurs,Q5284_we_euclidean_word2vec_translate
11,Bill Gates is the Lyndon B. Johnson of entrepreneurs,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
12,Bill Gates is the Sarah Palin of entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
13,Bill Gates is the Steve Jobs of Humanitarian Leadership.,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
14,Ronald Reagan was the Caesar of Strategic Vision.,ChatGPT
15,Ronald Reagan was the Langston Hughes of television actors,Q9960_we_cosine_word2vec_projec
16,Ronald Reagan was the Jacqueline Kennedy Onassis of television actors,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
17,Ronald Reagan was the George Soros of television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
18,Ronald Reagan was the Carl David Anderson of television actors,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
19,Ronald Reagan was the Carl Benz of television actors,Q567_we_euclidean_word2vec_translate
20,Ronald Reagan was the Milton Friedman of television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
