,Sentence,Model
0,Albert Einstein was the Galileo of Thought Experiment.,ChatGPT
1,Albert Einstein was the Carl Jung of physicists,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
2,Albert Einstein was the Albert Hofmann of physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
3,Albert Einstein was the Philip Seymour Hoffman of physicists,Q7245_we_euclidean_word2vec_translate
4,Albert Einstein was the Boris Becker of physicists,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
5,Albert Einstein was the Julia Roberts of physicists,ChatGPT
6,Albert Einstein was the Syd Barrett of physicists,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
7,Mark Twain was the Cyrus the Great of journalists,Q8023_we_cosine_word2vec_projec
8,Mark Twain was the Roger Waters of journalists,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,Mark Twain was the Joseph Smith of journalists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
10,Mark Twain was the Robin Williams of journalists,Q937_we_cosine_word2vec_projec
11,Mark Twain was the Neil Armstrong of journalists,ChatGPT
12,Mark Twain was the John Milton of journalists,Q8023_we_euclidean_word2vec_translate
13,Mark Twain was the Picasso of Narrative Wit.,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
14,Nelson Mandela was the Lincoln of Racial Equality.,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
15,Nelson Mandela was the J. M. Coetzee of politicians,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
16,Nelson Mandela was the J. M. Coetzee of politicians,Q937_we_euclidean_word2vec_translate
17,Nelson Mandela was the Edward Norton of politicians,Q7245_we_cosine_word2vec_projec
18,Nelson Mandela was the John Paul I of politicians,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
19,Nelson Mandela was the Carl Lewis of politicians,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
20,Nelson Mandela was the John Cena of politicians,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
