,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1685,1685,Albert Einstein,Newton,Intellectual Revolution.,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
1,1126,1126,Albert Einstein,Gerhard Schröder,physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
2,1150,1150,Albert Einstein,Carl Jung,physicists,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
3,1223,1223,Albert Einstein,Richard Strauss,physicists,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
4,1315,1315,Albert Einstein,Leonard Bernstein,physicists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
5,1347,1347,Albert Einstein,Robbie Williams,physicists,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
6,1395,1395,Albert Einstein,Syd Barrett,physicists,Q9960_we_cosine_word2vec_projec
34,1113,1113,Nelson Mandela,John Cena,politicians,Q9960_we_euclidean_word2vec_translate
33,1065,1065,Nelson Mandela,Jessica Biel,politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
32,1032,1032,Nelson Mandela,Ed Harris,politicians,Q8023_we_euclidean_word2vec_translate
31,941,941,Nelson Mandela,Cameron Diaz,politicians,Q8023_we_cosine_word2vec_projec
30,872,872,Nelson Mandela,Shakira,politicians,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
29,841,841,Nelson Mandela,Muhammad Yunus,politicians,Q937_we_cosine_word2vec_projec
28,1725,1725,Nelson Mandela,Luther King,Human Rights.,ChatGPT
35,1739,1739,Ronald Reagan,Mandela,Diplomatic Influence.,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
36,1401,1401,Ronald Reagan,Neil Armstrong,television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
37,1438,1438,Ronald Reagan,Steve Jobs,television actors,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
38,1500,1500,Ronald Reagan,Neil Armstrong,television actors,ChatGPT
39,1592,1592,Ronald Reagan,Charles Manson,television actors,Q937_we_euclidean_word2vec_translate
40,1620,1620,Ronald Reagan,Charles Thomson Rees Wilson,television actors,ChatGPT
41,1678,1678,Ronald Reagan,Gregory I,television actors,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
