,Sentence,Model
0,Mark Twain was the Poe of Hilarious Anecdotes.,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
1,Mark Twain was the Alfred Hitchcock of journalists,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,Mark Twain was the Orson Welles of journalists,ChatGPT
3,Mark Twain was the Jeff Bridges of journalists,ChatGPT
4,Mark Twain was the Robin Williams of journalists,Q7245_we_cosine_word2vec_projec
5,Mark Twain was the Roger Waters of journalists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
6,Mark Twain was the Otto I the Great of journalists,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
7,Nelson Mandela was the Sherlock Holmes of politicians,Q9960_we_euclidean_word2vec_translate
8,Nelson Mandela was the Carl Lewis of politicians,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
9,Nelson Mandela was the Shaka Zulu of politicians,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
10,Nelson Mandela was the Cameron Diaz of politicians,Q9960_we_cosine_word2vec_projec
11,Nelson Mandela was the Edward Snowden of politicians,Q8023_we_cosine_word2vec_projec
12,Nelson Mandela was the Peter Gabriel of politicians,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
13,Nelson Mandela was the King Jr. of Reconciliation.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
14,Ronald Reagan was the Jefferson of Reagan Revolution.,Q7245_we_euclidean_word2vec_translate
15,Ronald Reagan was the Noam Chomsky of television actors,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,Ronald Reagan was the John D. Rockefeller of television actors,Q8023_we_euclidean_word2vec_translate
17,Ronald Reagan was the Neil Armstrong of television actors,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
18,Ronald Reagan was the George Soros of television actors,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
19,Ronald Reagan was the Jesse Owens of television actors,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,Ronald Reagan was the Charles Thomson Rees Wilson of television actors,ChatGPT
