,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
7,1694,1694,Angela Merkel,Thatcher,Resolute Statesmanship.,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
8,286,286,Angela Merkel,Herta Müller,politicians,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,318,318,Angela Merkel,Melinda Gates,politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
10,388,388,Angela Merkel,Paul Klee,politicians,Q7245_we_euclidean_word2vec_translate
11,472,472,Angela Merkel,Walter Benjamin,politicians,Q7245_we_cosine_word2vec_projec
12,505,505,Angela Merkel,Julian Assange,politicians,Q9960_we_euclidean_word2vec_translate
13,558,558,Angela Merkel,Leonard Bernstein,politicians,ChatGPT
27,837,837,Mark Twain,Darth Vader,journalists,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
26,783,783,Mark Twain,Magic Johnson,journalists,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
25,754,754,Mark Twain,Spencer Tracy,journalists,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
24,669,669,Mark Twain,Robin Williams,journalists,Q567_we_euclidean_word2vec_translate
23,597,597,Mark Twain,Sigmund Freud,journalists,Q9960_we_cosine_word2vec_projec
22,569,569,Mark Twain,Jack Lemmon,journalists,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
21,1710,1710,Mark Twain,Dickens,American Literature.,ChatGPT
35,1737,1737,Ronald Reagan,Caesar,Strategic Vision.,ChatGPT
36,1407,1407,Ronald Reagan,Charles Manson,television actors,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
37,1431,1431,Ronald Reagan,Noam Chomsky,television actors,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
38,1509,1509,Ronald Reagan,Carl David Anderson,television actors,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
39,1596,1596,Ronald Reagan,Julian Assange,television actors,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
40,1623,1623,Ronald Reagan,Carl Benz,television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
41,1671,1671,Ronald Reagan,Francis Xavier,television actors,Q567_we_cosine_word2vec_projec
