,Sentence,Model
0,Albert Einstein was the Newton of Intellectual Revolution.,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
1,Albert Einstein was the Gerhard Schröder of physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
2,Albert Einstein was the Carl Jung of physicists,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
3,Albert Einstein was the Richard Strauss of physicists,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
4,Albert Einstein was the Leonard Bernstein of physicists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
5,Albert Einstein was the Robbie Williams of physicists,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
6,Albert Einstein was the Syd Barrett of physicists,Q9960_we_cosine_word2vec_projec
7,Nelson Mandela was the John Cena of politicians,Q9960_we_euclidean_word2vec_translate
8,Nelson Mandela was the Jessica Biel of politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
9,Nelson Mandela was the Ed Harris of politicians,Q8023_we_euclidean_word2vec_translate
10,Nelson Mandela was the Cameron Diaz of politicians,Q8023_we_cosine_word2vec_projec
11,Nelson Mandela was the Shakira of politicians,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
12,Nelson Mandela was the Muhammad Yunus of politicians,Q937_we_cosine_word2vec_projec
13,Nelson Mandela was the Luther King of Human Rights.,ChatGPT
14,Ronald Reagan was the Mandela of Diplomatic Influence.,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
15,Ronald Reagan was the Neil Armstrong of television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
16,Ronald Reagan was the Steve Jobs of television actors,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
17,Ronald Reagan was the Neil Armstrong of television actors,ChatGPT
18,Ronald Reagan was the Charles Manson of television actors,Q937_we_euclidean_word2vec_translate
19,Ronald Reagan was the Charles Thomson Rees Wilson of television actors,ChatGPT
20,Ronald Reagan was the Gregory I of television actors,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
