,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1682,1682,Albert Einstein,Da Vinci,Rationality.,Q9960_we_cosine_word2vec_projec
1,1125,1125,Albert Einstein,Willy Brandt,physicists,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
2,1156,1156,Albert Einstein,Karl Liebknecht,physicists,ChatGPT
3,1224,1224,Albert Einstein,Boris Becker,physicists,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
4,1312,1312,Albert Einstein,Carl Rogers,physicists,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
5,1347,1347,Albert Einstein,Robbie Williams,physicists,Q937_we_euclidean_word2vec_translate
6,1395,1395,Albert Einstein,Syd Barrett,physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
27,835,835,Mark Twain,Frederick Sanger,journalists,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
26,786,786,Mark Twain,Maurice Ravel,journalists,Q7245_we_cosine_word2vec_projec
25,758,758,Mark Twain,Kirk Douglas,journalists,Q937_we_cosine_word2vec_projec
24,661,661,Mark Twain,Jeff Bridges,journalists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
23,594,594,Mark Twain,Errol Flynn,journalists,ChatGPT
22,563,563,Mark Twain,Anne Bancroft,journalists,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
21,1717,1717,Mark Twain,Wilde,Social Commentary.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
35,1733,1733,Ronald Reagan,Kennedy,Charismatic Governance.,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
36,1404,1404,Ronald Reagan,Sally Ride,television actors,Q7245_we_euclidean_word2vec_translate
37,1438,1438,Ronald Reagan,Steve Jobs,television actors,ChatGPT
38,1503,1503,Ronald Reagan,Jesse Owens,television actors,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
39,1598,1598,Ronald Reagan,Carl Rogers,television actors,Q9960_we_euclidean_word2vec_translate
40,1624,1624,Ronald Reagan,Robert Edwards,television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
41,1670,1670,Ronald Reagan,Leonard Bernstein,television actors,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
