,Sentence,Model
0,Bill Gates is the Rockefeller of Philanthropic Impact.,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
1,Bill Gates is the Richard Nixon of entrepreneurs,Q5284_we_cosine_word2vec_projec
2,Bill Gates is the Gerald Ford of entrepreneurs,Q5284_we_euclidean_word2vec_translate
3,Bill Gates is the Gerald Ford of entrepreneurs,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
4,Bill Gates is the Sarah Palin of entrepreneurs,ChatGPT
5,Bill Gates is the Martin Landau of entrepreneurs,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
6,Bill Gates is the Frederick Sanger of entrepreneurs,Q7245_we_cosine_word2vec_projec
7,Mark Twain was the Mark the Evangelist of journalists,Q7245_we_euclidean_word2vec_translate
8,Mark Twain was the David Cameron of journalists,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
9,Mark Twain was the John Milton of journalists,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
10,Mark Twain was the Mark the Evangelist of journalists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
11,Mark Twain was the Alfred Hitchcock of journalists,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
12,Mark Twain was the Hal Holbrook of journalists,Q8023_we_cosine_word2vec_projec
13,Mark Twain was the Poe of Hilarious Anecdotes.,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
14,Nelson Mandela was the Sankara of Pan-Africanism.,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
15,Nelson Mandela was the Bono of politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
16,Nelson Mandela was the Elizabeth II of politicians,ChatGPT
17,Nelson Mandela was the Edward Norton of politicians,ChatGPT
18,Nelson Mandela was the Paul Newman of politicians,Q8023_we_euclidean_word2vec_translate
19,Nelson Mandela was the Jessica Biel of politicians,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
20,Nelson Mandela was the Sherlock Holmes of politicians,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
