,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1683,1683,Albert Einstein,Galileo,Thought Experiment.,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
1,1125,1125,Albert Einstein,Willy Brandt,physicists,Q9960_we_cosine_word2vec_projec
2,1154,1154,Albert Einstein,Willy Brandt,physicists,ChatGPT
3,1220,1220,Albert Einstein,William Harvey,physicists,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
4,1316,1316,Albert Einstein,Carl Jung,physicists,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
5,1346,1346,Albert Einstein,Andrew Jackson,physicists,Q937_we_cosine_word2vec_projec
6,1398,1398,Albert Einstein,Sherlock Holmes,physicists,Q5284_we_cosine_word2vec_projec
20,273,273,Bill Gates,Fatima,entrepreneurs,Q937_we_euclidean_word2vec_translate
19,222,222,Bill Gates,Jimmy Page,entrepreneurs,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
18,192,192,Bill Gates,Gerald Ford,entrepreneurs,Q9960_we_euclidean_word2vec_translate
17,106,106,Bill Gates,Edward Kennedy,entrepreneurs,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,35,35,Bill Gates,Zbigniew Brzezinski,entrepreneurs,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
15,8,8,Bill Gates,Richard Nixon,entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
14,1706,1706,Bill Gates,Mozart,Entrepreneurial Brilliance.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
35,1736,1736,Ronald Reagan,Disraeli,Reaganomics.,Q5284_we_euclidean_word2vec_translate
36,1406,1406,Ronald Reagan,Langston Hughes,television actors,ChatGPT
37,1439,1439,Ronald Reagan,Roald Amundsen,television actors,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
38,1502,1502,Ronald Reagan,Charles Manson,television actors,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
39,1591,1591,Ronald Reagan,Leonard Bernstein,television actors,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
40,1621,1621,Ronald Reagan,George Soros,television actors,ChatGPT
41,1678,1678,Ronald Reagan,Gregory I,television actors,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
