,Sentence,Model
0,Bill Gates is the Mozart of Entrepreneurial Brilliance.,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
1,Bill Gates is the Sarah Palin of entrepreneurs,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
2,Bill Gates is the Harry S. Truman of entrepreneurs,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
3,Bill Gates is the Jude Law of entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
4,Bill Gates is the Sarah Palin of entrepreneurs,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
5,Bill Gates is the Hugh Grant of entrepreneurs,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
6,Bill Gates is the Francisco Goya of entrepreneurs,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
7,Mark Twain was the Darth Vader of journalists,ChatGPT
8,Mark Twain was the Victor Francis Hess of journalists,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
9,Mark Twain was the Jeff Bridges of journalists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
10,Mark Twain was the Sojourner Truth of journalists,Q7245_we_euclidean_word2vec_translate
11,Mark Twain was the John Milton of journalists,Q9960_we_euclidean_word2vec_translate
12,Mark Twain was the Lucille Ball of journalists,ChatGPT
13,Mark Twain was the Dickens of American Literature.,Q9960_we_cosine_word2vec_projec
14,Ronald Reagan was the Kennedy of Charismatic Governance.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
15,Ronald Reagan was the Charles Manson of television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
16,Ronald Reagan was the Elizabeth II of television actors,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
17,Ronald Reagan was the Julian Assange of television actors,Q5284_we_cosine_word2vec_projec
18,Ronald Reagan was the George Soros of television actors,ChatGPT
19,Ronald Reagan was the Charles Thomson Rees Wilson of television actors,Q5284_we_euclidean_word2vec_translate
20,Ronald Reagan was the Milton Friedman of television actors,Q7245_we_cosine_word2vec_projec
