,Sentence,Model
0,Bill Gates is the Tesla of Technological Vision.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
1,Bill Gates is the Arno Allan Penzias of entrepreneurs,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,Bill Gates is the Lyndon B. Johnson of entrepreneurs,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
3,Bill Gates is the Mike Pence of entrepreneurs,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
4,Bill Gates is the Edward Kennedy of entrepreneurs,Q9960_we_euclidean_word2vec_translate
5,Bill Gates is the Martin Landau of entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
6,Bill Gates is the Cyrus the Great of entrepreneurs,ChatGPT
7,Nelson Mandela was the John Cena of politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
8,Nelson Mandela was the Carl Lewis of politicians,ChatGPT
9,Nelson Mandela was the Cameron Diaz of politicians,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
10,Nelson Mandela was the Ed Harris of politicians,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
11,Nelson Mandela was the Shakira of politicians,Q9960_we_cosine_word2vec_projec
12,Nelson Mandela was the Recep Tayyip Erdoğan of politicians,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
13,Nelson Mandela was the Guevara of Freedom Struggle.,Q8023_we_cosine_word2vec_projec
14,Ronald Reagan was the Washington of Modern Conservatism.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
15,Ronald Reagan was the Leonard Bernstein of television actors,Q5284_we_cosine_word2vec_projec
16,Ronald Reagan was the Melania Trump of television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
17,Ronald Reagan was the Charles Manson of television actors,Q8023_we_euclidean_word2vec_translate
18,Ronald Reagan was the Leonard Bernstein of television actors,Q5284_we_euclidean_word2vec_translate
19,Ronald Reagan was the Joseph John Thomson of television actors,ChatGPT
20,Ronald Reagan was the Francis Xavier of television actors,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
