,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1688,1688,Albert Einstein,Darwin,Theoretical Paradigm Shift.,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
1,1127,1127,Albert Einstein,Ferdinand de Saussure,physicists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
2,1153,1153,Albert Einstein,Edward Snowden,physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
3,1223,1223,Albert Einstein,Richard Strauss,physicists,Q937_we_euclidean_word2vec_translate
4,1311,1311,Albert Einstein,Robert Edwards,physicists,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
5,1340,1340,Albert Einstein,Philip Seymour Hoffman,physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
6,1391,1391,Albert Einstein,Marilyn Manson,physicists,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,274,274,Bill Gates,Francisco Goya,entrepreneurs,ChatGPT
19,229,229,Bill Gates,Osama bin Laden,entrepreneurs,Q9960_we_euclidean_word2vec_translate
18,194,194,Bill Gates,Richard Nixon,entrepreneurs,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
17,102,102,Bill Gates,Mike Pence,entrepreneurs,Q5284_we_cosine_word2vec_projec
16,36,36,Bill Gates,Gerald Ford,entrepreneurs,ChatGPT
15,1,1,Bill Gates,Colin Powell,entrepreneurs,Q5284_we_euclidean_word2vec_translate
14,1707,1707,Bill Gates,Galileo,Technological Advancement.,ChatGPT
35,1732,1732,Ronald Reagan,Lincoln,Economic Reform.,Q937_we_cosine_word2vec_projec
36,1401,1401,Ronald Reagan,Neil Armstrong,television actors,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
37,1433,1433,Ronald Reagan,John D. Rockefeller,television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
38,1509,1509,Ronald Reagan,Carl David Anderson,television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
39,1595,1595,Ronald Reagan,Milton Friedman,television actors,Q9960_we_cosine_word2vec_projec
40,1626,1626,Ronald Reagan,Francis Xavier,television actors,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
41,1672,1672,Ronald Reagan,Julian Assange,television actors,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
