,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1687,1687,Albert Einstein,Marie Curie,Quantum Enlightenment.,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
1,1125,1125,Albert Einstein,Willy Brandt,physicists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,1153,1153,Albert Einstein,Edward Snowden,physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
3,1224,1224,Albert Einstein,Boris Becker,physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
4,1319,1319,Albert Einstein,William Morris,physicists,Q567_we_euclidean_word2vec_translate
5,1342,1342,Albert Einstein,Andrew Johnson,physicists,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
6,1394,1394,Albert Einstein,Dustin Hoffman,physicists,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
13,553,553,Angela Merkel,Susan Boyle,politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
12,506,506,Angela Merkel,Marilyn Manson,politicians,ChatGPT
11,476,476,Angela Merkel,Milton Friedman,politicians,Q567_we_cosine_word2vec_projec
10,381,381,Angela Merkel,Julian Assange,politicians,ChatGPT
9,314,314,Angela Merkel,Günter Grass,politicians,Q5284_we_euclidean_word2vec_translate
8,281,281,Angela Merkel,Heinz Guderian,politicians,Q937_we_euclidean_word2vec_translate
7,1697,1697,Angela Merkel,Roosevelt,Crisis Management.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
14,1707,1707,Bill Gates,Galileo,Technological Advancement.,Q937_we_cosine_word2vec_projec
15,3,3,Bill Gates,Harry S. Truman,entrepreneurs,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
16,31,31,Bill Gates,Harry S. Truman,entrepreneurs,ChatGPT
17,106,106,Bill Gates,Edward Kennedy,entrepreneurs,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
18,195,195,Bill Gates,Sarah Palin,entrepreneurs,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
19,228,228,Bill Gates,Heath Ledger,entrepreneurs,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,273,273,Bill Gates,Fatima,entrepreneurs,Q5284_we_cosine_word2vec_projec
