,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1683,1683,Albert Einstein,Galileo,Thought Experiment.,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
1,1124,1124,Albert Einstein,Eva Braun,physicists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
2,1151,1151,Albert Einstein,Albert Hofmann,physicists,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
3,1225,1225,Albert Einstein,Leonard Bernstein,physicists,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
4,1311,1311,Albert Einstein,Robert Edwards,physicists,ChatGPT
5,1343,1343,Albert Einstein,Julia Roberts,physicists,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
6,1390,1390,Albert Einstein,Boris Becker,physicists,ChatGPT
34,1119,1119,Nelson Mandela,Donald Sutherland,politicians,Q9960_we_cosine_word2vec_projec
33,1067,1067,Nelson Mandela,Jerry Lewis,politicians,Q9960_we_euclidean_word2vec_translate
32,1039,1039,Nelson Mandela,Paul Newman,politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
31,942,942,Nelson Mandela,Ed Harris,politicians,Q8023_we_cosine_word2vec_projec
30,879,879,Nelson Mandela,J. M. Coetzee,politicians,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
29,844,844,Nelson Mandela,Elizabeth II,politicians,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
28,1723,1723,Nelson Mandela,Tutu,Moral Leadership.,Q937_we_euclidean_word2vec_translate
35,1739,1739,Ronald Reagan,Mandela,Diplomatic Influence.,Q937_we_cosine_word2vec_projec
36,1401,1401,Ronald Reagan,Neil Armstrong,television actors,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
37,1434,1434,Ronald Reagan,Elizabeth II,television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
38,1503,1503,Ronald Reagan,Jesse Owens,television actors,ChatGPT
39,1599,1599,Ronald Reagan,Carl David Anderson,television actors,Q8023_we_euclidean_word2vec_translate
40,1623,1623,Ronald Reagan,Carl Benz,television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
41,1674,1674,Ronald Reagan,Milton Friedman,television actors,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
