,Sentence,Model
0,Albert Einstein was the Shakespeare of Scientific Insight.,Q937_we_euclidean_word2vec_translate
1,Albert Einstein was the Willy Brandt of physicists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,Albert Einstein was the Edward Snowden of physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
3,Albert Einstein was the Carl Rogers of physicists,Q9960_we_euclidean_word2vec_translate
4,Albert Einstein was the Carl Rogers of physicists,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
5,Albert Einstein was the William Harvey of physicists,Q5284_we_euclidean_word2vec_translate
6,Albert Einstein was the Marilyn Manson of physicists,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
7,Bill Gates is the Fatima of entrepreneurs,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
8,Bill Gates is the Jimmy Page of entrepreneurs,ChatGPT
9,Bill Gates is the Margaret Thatcher of entrepreneurs,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
10,Bill Gates is the Sarah Palin of entrepreneurs,ChatGPT
11,Bill Gates is the Elizabeth II of entrepreneurs,ChatGPT
12,Bill Gates is the Gerhard Schröder of entrepreneurs,Q5284_we_cosine_word2vec_projec
13,Bill Gates is the Steve Jobs of Humanitarian Leadership.,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
14,Ronald Reagan was the Washington of Modern Conservatism.,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
15,Ronald Reagan was the Leonard Bernstein of television actors,Q937_we_cosine_word2vec_projec
16,Ronald Reagan was the Arthur Rubinstein of television actors,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
17,Ronald Reagan was the Carl Lewis of television actors,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
18,Ronald Reagan was the Carl Lewis of television actors,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
19,Ronald Reagan was the Carl Benz of television actors,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
20,Ronald Reagan was the Gregory I of television actors,Q9960_we_cosine_word2vec_projec
