,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1686,1686,Albert Einstein,Beethoven,Mathematical Symphony.,ChatGPT
1,1126,1126,Albert Einstein,Gerhard Schröder,physicists,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
2,1151,1151,Albert Einstein,Albert Hofmann,physicists,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
3,1225,1225,Albert Einstein,Leonard Bernstein,physicists,Q937_we_euclidean_word2vec_translate
4,1316,1316,Albert Einstein,Carl Jung,physicists,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
5,1343,1343,Albert Einstein,Julia Roberts,physicists,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
6,1392,1392,Albert Einstein,Leonard Bernstein,physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
13,556,556,Angela Merkel,Catherine Middleton,politicians,Q567_we_euclidean_word2vec_translate
12,500,500,Angela Merkel,Philip Seymour Hoffman,politicians,ChatGPT
11,477,477,Angela Merkel,Paul Klee,politicians,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
10,381,381,Angela Merkel,Julian Assange,politicians,Q937_we_cosine_word2vec_projec
9,312,312,Angela Merkel,Friedrich Engels,politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
8,282,282,Angela Merkel,Edward Snowden,politicians,ChatGPT
7,1696,1696,Angela Merkel,Havel,Democratic Leadership.,Q5284_we_cosine_word2vec_projec
14,1702,1702,Bill Gates,Tesla,Technological Vision.,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
15,6,6,Bill Gates,Edward Kennedy,entrepreneurs,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
16,36,36,Bill Gates,Gerald Ford,entrepreneurs,Q5284_we_euclidean_word2vec_translate
17,103,103,Bill Gates,Gerald Ford,entrepreneurs,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
18,191,191,Bill Gates,Barbara Bush,entrepreneurs,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
19,220,220,Bill Gates,Lois Lane,entrepreneurs,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,271,271,Bill Gates,Darth Vader,entrepreneurs,Q567_we_cosine_word2vec_projec
