,Sentence,Model
0,Albert Einstein was the Marie Curie of Quantum Enlightenment.,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
1,Albert Einstein was the Willy Brandt of physicists,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,Albert Einstein was the Edward Snowden of physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
3,Albert Einstein was the Boris Becker of physicists,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
4,Albert Einstein was the William Morris of physicists,Q567_we_euclidean_word2vec_translate
5,Albert Einstein was the Andrew Johnson of physicists,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
6,Albert Einstein was the Dustin Hoffman of physicists,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
7,Angela Merkel is the Susan Boyle of politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
8,Angela Merkel is the Marilyn Manson of politicians,ChatGPT
9,Angela Merkel is the Milton Friedman of politicians,Q567_we_cosine_word2vec_projec
10,Angela Merkel is the Julian Assange of politicians,ChatGPT
11,Angela Merkel is the Günter Grass of politicians,Q5284_we_euclidean_word2vec_translate
12,Angela Merkel is the Heinz Guderian of politicians,Q937_we_euclidean_word2vec_translate
13,Angela Merkel is the Roosevelt of Crisis Management.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
14,Bill Gates is the Galileo of Technological Advancement.,Q937_we_cosine_word2vec_projec
15,Bill Gates is the Harry S. Truman of entrepreneurs,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
16,Bill Gates is the Harry S. Truman of entrepreneurs,ChatGPT
17,Bill Gates is the Edward Kennedy of entrepreneurs,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
18,Bill Gates is the Sarah Palin of entrepreneurs,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
19,Bill Gates is the Heath Ledger of entrepreneurs,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,Bill Gates is the Fatima of entrepreneurs,Q5284_we_cosine_word2vec_projec
