,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1686,1686,Albert Einstein,Beethoven,Mathematical Symphony.,Q567_we_euclidean_word2vec_translate
1,1125,1125,Albert Einstein,Willy Brandt,physicists,Q8023_we_euclidean_word2vec_translate
2,1156,1156,Albert Einstein,Karl Liebknecht,physicists,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
3,1223,1223,Albert Einstein,Richard Strauss,physicists,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
4,1318,1318,Albert Einstein,Harold Wilson,physicists,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
5,1343,1343,Albert Einstein,Julia Roberts,physicists,Q937_we_euclidean_word2vec_translate
6,1397,1397,Albert Einstein,Marilyn Monroe,physicists,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
13,554,554,Angela Merkel,Marilyn Manson,politicians,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
12,507,507,Angela Merkel,Emma Thompson,politicians,ChatGPT
11,470,470,Angela Merkel,Eva Braun,politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
10,387,387,Angela Merkel,Jessica Lange,politicians,Q937_we_cosine_word2vec_projec
9,313,313,Angela Merkel,Zbigniew Brzezinski,politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
8,289,289,Angela Merkel,Martin Niemöller,politicians,ChatGPT
7,1690,1690,Angela Merkel,Churchill,Diplomatic Resilience.,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
28,1724,1724,Nelson Mandela,Guevara,Freedom Struggle.,Q567_we_cosine_word2vec_projec
29,845,845,Nelson Mandela,François Hollande,politicians,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
30,876,876,Nelson Mandela,Melinda Gates,politicians,ChatGPT
31,944,944,Nelson Mandela,Shaka Zulu,politicians,Q8023_we_cosine_word2vec_projec
32,1037,1037,Nelson Mandela,Christopher Plummer,politicians,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
33,1067,1067,Nelson Mandela,Jerry Lewis,politicians,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
34,1116,1116,Nelson Mandela,Victor Francis Hess,politicians,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
