,Sentence,Model
0,Angela Merkel is the Havel of Democratic Leadership.,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
1,Angela Merkel is the Herta Müller of politicians,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,Angela Merkel is the Erwin Rommel of politicians,Q5284_we_cosine_word2vec_projec
3,Angela Merkel is the Walter Benjamin of politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
4,Angela Merkel is the Paul Klee of politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
5,Angela Merkel is the Marilyn Monroe of politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
6,Angela Merkel is the Jennifer Aniston of politicians,Q567_we_euclidean_word2vec_translate
7,Bill Gates is the Cyrus the Great of entrepreneurs,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
8,Bill Gates is the Hugh Grant of entrepreneurs,Q8023_we_cosine_word2vec_projec
9,Bill Gates is the Nancy Pelosi of entrepreneurs,ChatGPT
10,Bill Gates is the Jude Law of entrepreneurs,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
11,Bill Gates is the Sarah Palin of entrepreneurs,ChatGPT
12,Bill Gates is the Barbara Bush of entrepreneurs,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
13,Bill Gates is the Rockefeller of Philanthropic Impact.,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
14,Nelson Mandela was the Lincoln of Racial Equality.,Q567_we_cosine_word2vec_projec
15,Nelson Mandela was the François Hollande of politicians,ChatGPT
16,Nelson Mandela was the Shakira of politicians,Q8023_we_euclidean_word2vec_translate
17,Nelson Mandela was the Anthony Hopkins of politicians,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
18,Nelson Mandela was the Christopher Plummer of politicians,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
19,Nelson Mandela was the Cameron Diaz of politicians,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
20,Nelson Mandela was the Kelly Clarkson of politicians,Q5284_we_euclidean_word2vec_translate
