,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
7,1699,1699,Angela Merkel,Queen Elizabeth I,Political Diplomacy.,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
8,288,288,Angela Merkel,Claus Schenk Graf von Stauffenberg,politicians,ChatGPT
9,319,319,Angela Merkel,Marlene Dietrich,politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
10,382,382,Angela Merkel,Jennifer Aniston,politicians,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
11,475,475,Angela Merkel,Thomas Mann,politicians,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
12,504,504,Angela Merkel,Spencer Tracy,politicians,Q567_we_euclidean_word2vec_translate
13,554,554,Angela Merkel,Marilyn Manson,politicians,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
20,274,274,Bill Gates,Francisco Goya,entrepreneurs,ChatGPT
19,225,225,Bill Gates,Mike Pence,entrepreneurs,Q9960_we_euclidean_word2vec_translate
18,192,192,Bill Gates,Gerald Ford,entrepreneurs,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
17,107,107,Bill Gates,Margaret Thatcher,entrepreneurs,ChatGPT
16,30,30,Bill Gates,Michail Gorbatsjov,entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
15,4,4,Bill Gates,Gerhard Schröder,entrepreneurs,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
14,1702,1702,Bill Gates,Tesla,Technological Vision.,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
35,1738,1738,Ronald Reagan,Jefferson,Reagan Revolution.,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
36,1400,1400,Ronald Reagan,Howard Hughes,television actors,Q9960_we_cosine_word2vec_projec
37,1430,1430,Ronald Reagan,Neil Armstrong,television actors,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
38,1504,1504,Ronald Reagan,George Soros,television actors,Q5284_we_cosine_word2vec_projec
39,1594,1594,Ronald Reagan,George Soros,television actors,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
40,1627,1627,Ronald Reagan,Alexander I,television actors,Q5284_we_euclidean_word2vec_translate
41,1677,1677,Ronald Reagan,Rupert Murdoch,television actors,Q567_we_cosine_word2vec_projec
