,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
14,1702,1702,Bill Gates,Tesla,Technological Vision.,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
15,7,7,Bill Gates,Arno Allan Penzias,entrepreneurs,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
16,37,37,Bill Gates,Lyndon B. Johnson,entrepreneurs,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
17,102,102,Bill Gates,Mike Pence,entrepreneurs,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
18,196,196,Bill Gates,Edward Kennedy,entrepreneurs,Q9960_we_euclidean_word2vec_translate
19,224,224,Bill Gates,Martin Landau,entrepreneurs,Q9960_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
20,272,272,Bill Gates,Cyrus the Great,entrepreneurs,ChatGPT
34,1113,1113,Nelson Mandela,John Cena,politicians,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
33,1061,1061,Nelson Mandela,Carl Lewis,politicians,ChatGPT
32,1031,1031,Nelson Mandela,Cameron Diaz,politicians,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
31,942,942,Nelson Mandela,Ed Harris,politicians,Q9960_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
30,872,872,Nelson Mandela,Shakira,politicians,Q9960_we_cosine_word2vec_projec
29,847,847,Nelson Mandela,Recep Tayyip Erdoğan,politicians,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
28,1724,1724,Nelson Mandela,Guevara,Freedom Struggle.,Q8023_we_cosine_word2vec_projec
35,1734,1734,Ronald Reagan,Washington,Modern Conservatism.,Q9960_kge_euclidean_data_transe_wikidata5mpkl_translate
36,1403,1403,Ronald Reagan,Leonard Bernstein,television actors,Q5284_we_cosine_word2vec_projec
37,1435,1435,Ronald Reagan,Melania Trump,television actors,Q9960_kge_cosine_data_transe_wikidata5mpkl_projec
38,1502,1502,Ronald Reagan,Charles Manson,television actors,Q8023_we_euclidean_word2vec_translate
39,1591,1591,Ronald Reagan,Leonard Bernstein,television actors,Q5284_we_euclidean_word2vec_translate
40,1625,1625,Ronald Reagan,Joseph John Thomson,television actors,ChatGPT
41,1671,1671,Ronald Reagan,Francis Xavier,television actors,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
