,Unnamed: 0.1,Unnamed: 0,A,B,C,Model
0,1689,1689,Albert Einstein,Tesla,Conceptual Innovation.,Q567_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
1,1129,1129,Albert Einstein,Gerty Cori,physicists,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
2,1154,1154,Albert Einstein,Willy Brandt,physicists,Q567_kge_cosine_data_transe_wikidata5mpkl_projec
3,1224,1224,Albert Einstein,Boris Becker,physicists,Q937_we_euclidean_word2vec_translate
4,1318,1318,Albert Einstein,Harold Wilson,physicists,Q937_we_cosine_word2vec_projec
5,1340,1340,Albert Einstein,Philip Seymour Hoffman,physicists,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
6,1398,1398,Albert Einstein,Sherlock Holmes,physicists,Q567_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
13,558,558,Angela Merkel,Leonard Bernstein,politicians,Q937_kge_euclidean_data_transe_wikidata5mpkl_translate
12,506,506,Angela Merkel,Marilyn Manson,politicians,Q937_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
11,471,471,Angela Merkel,Julian Assange,politicians,Q567_kge_euclidean_data_transe_wikidata5mpkl_translate
10,380,380,Angela Merkel,Eva Braun,politicians,Q8023_we_euclidean_word2vec_translate
9,314,314,Angela Merkel,Günter Grass,politicians,Q937_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
8,284,284,Angela Merkel,Günter Grass,politicians,ChatGPT
7,1693,1693,Angela Merkel,Lincoln,Staunch Resolve.,Q567_we_cosine_word2vec_projec
28,1726,1726,Nelson Mandela,Sankara,Pan-Africanism.,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
29,842,842,Nelson Mandela,Dilma Rousseff,politicians,Q8023_we_cosine_word2vec_projec
30,873,873,Nelson Mandela,Edward Snowden,politicians,Q567_we_euclidean_word2vec_translate
31,948,948,Nelson Mandela,Robert Boyle,politicians,ChatGPT
32,1032,1032,Nelson Mandela,Ed Harris,politicians,ChatGPT
33,1062,1062,Nelson Mandela,David Silva,politicians,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
34,1118,1118,Nelson Mandela,Pamela Anderson,politicians,Q937_kge_cosine_data_transe_wikidata5mpkl_projec
