,Sentence,Model
0,Bill Gates is the Da Vinci of Technological Renaissance.,Q7245_we_cosine_word2vec_projec
1,Bill Gates is the Gerald Ford of entrepreneurs,Q5284_kge_euclidean_data_transe_wikidata5mpkl_translate
2,Bill Gates is the Franklin Delano Roosevelt of entrepreneurs,Q8023_kge_euclidean_data_transe_wikidata5mpkl_translate
3,Bill Gates is the Gerald Ford of entrepreneurs,Q5284_we_cosine_word2vec_projec
4,Bill Gates is the Sarah Palin of entrepreneurs,Q8023_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
5,Bill Gates is the Hugh Grant of entrepreneurs,Q8023_we_euclidean_word2vec_translate
6,Bill Gates is the Francisco Goya of entrepreneurs,Q7245_kge_cosine_data_transe_wikidata5mpkl_projec
7,Mark Twain was the Maurice Ravel of journalists,ChatGPT
8,Mark Twain was the David Cameron of journalists,Q5284_kge_cosine_data_transe_wikidata5mpkl_projec
9,Mark Twain was the Spencer Tracy of journalists,Q7245_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
10,Mark Twain was the Tom Sawyer of journalists,Q5284_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
11,Mark Twain was the Neil Armstrong of journalists,ChatGPT
12,Mark Twain was the Alfred Hitchcock of journalists,Q5284_we_euclidean_word2vec_translate
13,Mark Twain was the Hemingway of Satirical Prose.,Q5284_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
14,Nelson Mandela was the King Jr. of Reconciliation.,Q8023_we_cosine_word2vec_projec
15,Nelson Mandela was the Miriam Makeba of politicians,Q7245_kge_euclidean_data_transe_wikidata5mpkl_translate
16,Nelson Mandela was the Nadine Gordimer of politicians,Q7245_meta_cosine_data_transe_wikidata5mpkl_word2vec_concatenate_projec
17,Nelson Mandela was the Paul Newman of politicians,ChatGPT
18,Nelson Mandela was the Cameron Diaz of politicians,Q8023_kge_cosine_data_transe_wikidata5mpkl_projec
19,Nelson Mandela was the Jerry Lewis of politicians,Q8023_meta_euclidean_data_transe_wikidata5mpkl_word2vec_concatenate_translate
20,Nelson Mandela was the Pamela Anderson of politicians,Q7245_we_euclidean_word2vec_translate
